Entry	Entry name	Gene names
P0AAG5	MDLB_ECOLI	mdlB mdl b0449 JW5061
P0AES4	GYRA_ECOLI	gyrA hisW nalA parD b2231 JW2225
P11458	NADA_ECOLI	nadA nicA b0750 JW0733
P37749	WBBI_ECOLI	wbbI yefG b2034 JW2019
P0A8V2	RPOB_ECOLI	rpoB groN nitB rif ron stl stv tabD b3987 JW3950
P0AF26	NARJ_ECOLI	narJ b1226 JW1217
P0AFH2	OPPB_ECOLI	oppB b1244 JW1236
P0ACE7	HINT_ECOLI	hinT ycfF b1103 JW1089
P10408	SECA_ECOLI	secA azi pea prlD b0098 JW0096
P45394	YRBG_ECOLI	yrbG b3196 JW3163
P0A6L4	NANA_ECOLI	nanA npl b3225 JW3194
P36938	PGM_ECOLI	pgm b0688 JW0675
P69425	TATB_ECOLI	tatB mttA2 ysgB b3838 JW5580
P75810	YBJJ_ECOLI	ybjJ b0845 JW0829
P0AEN4	FTSL_ECOLI	ftsL mraR yabD b0083 JW0081
P27840	YIGE_ECOLI	yigE b4482 JW5591
P04816	LIVK_ECOLI	livK b3458 JW3423
P25396	TEHA_ECOLI	tehA b1429 JW1425
P0AAS0	YLAC_ECOLI	ylaC b0458 JW5063
P77330	BORD_ECOLI	borD ybcU b0557 JW0546
P0AAT9	YBEL_ECOLI	ybeL b0643 JW0638
P0A7A7	PLSB_ECOLI	plsB b4041 JW4001
P0ABX8	FLIL_ECOLI	fliL cheC1 fla AI fla QI b1944 JW1928
P0AEG4	DSBA_ECOLI	dsbA dsf ppfA b3860 JW3832
P0AGJ2	TRMH_ECOLI	trmH spoU b3651 JW3626
P0C8J8	GATZ_ECOLI	gatZ b2095 JW2082
P06999	PFKB_ECOLI	pfkB b1723 JW5280
P0A9Y6	CSPC_ECOLI	cspC msmB b1823 JW1812
P76630	YGAZ_ECOLI	ygaZ b2682 JW2657
P0AFK6	POTC_ECOLI	potC b1124 JW1110
P0ACC7	GLMU_ECOLI	glmU yieA b3730 JW3708
P02925	RBSB_ECOLI	rbsB prlB rbsP b3751 JW3730
P77589	MHPT_ECOLI	mhpT yaiK b0353 JW5046
P32681	YJAH_ECOLI	yjaH b4001 JW3965
P02931	OMPF_ECOLI	ompF cmlB coa cry tolF b0929 JW0912
P0AFF6	NUSA_ECOLI	nusA b3169 JW3138
P0ACL0	GLPR_ECOLI	glpR b3423 JW3386
P63235	GADC_ECOLI	gadC acsA xasA b1492 JW1487
P0AA53	QMCA_ECOLI	qmcA ybbK b0489 JW0478
P0AEE1	DCRB_ECOLI	dcrB yhhR b3472 JW5682
P17169	GLMS_ECOLI	glmS b3729 JW3707
P0AFJ5	PHOB_ECOLI	phoB b0399 JW0389
P77368	YBCL_ECOLI	ybcL b0545 JW0533
P39173	YEAD_ECOLI	yeaD yzzQ b1780 JW1769
P07604	TYRR_ECOLI	tyrR b1323 JW1316
P23839	YICC_ECOLI	yicC b3644 JW3619
Q46909	YGCS_ECOLI	ygcS b2771 JW5845
P31679	YAAU_ECOLI	yaaU yabE b0045 JW0044
P76111	YDCZ_ECOLI	ydcZ b1447 JW1442
P32712	NRFG_ECOLI	nrfG yjcN b4076 JW4037
